snapshot_date,snapshot_at_utc,wallet,rank,pnl,volume,raw_window,raw_rank_type,raw_offset
2026-08-19,2026-08-19T02:52:38Z,0x0b9cae2b0dfe7a71c413e0604eaac1c352f87e44,70,2169137.4980268315,98429548.84645618,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x095fbca2e0eaf0c9841005135427e1e0117190b2,71,2156299.3590370473,31098832.840419002,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xb61b2079b95f6b7476fd3203e0274ffb93308a06,72,2145025.7986243973,13650894.241732001,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x65018f9fc473f6e920b8929a375d39c26a461220,73,2134423.6600071313,12393697.363607999,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xd1c537b2a7cba8d365e111bffb9de7b205e2cbd0,74,2098409.0744423736,45849716.23284202,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xd25c72ac0928385610611c8148803dc717334d20,75,2097480.476399747,5237151.235279998,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x2bf64b86b64c315d879571b07a3b76629e467cd0,76,2093362.982851,3655046.6027250034,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,77,2079322.9571600598,289362971.559938,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x57cd939930fd119067ca9dc42b22b3e15708a0fb,78,2005862.8628159165,22561323.616917003,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x02227b8f5a9636e895607edd3185ed6ee5598ff7,79,1991767.5134605914,22184124.26408099,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x65b54274eba5c76dee6f0fab18a590653811e82f,80,1985625.0930982654,27116007.477603994,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x37c1874a60d348903594a96703e0507c518fc53a,81,1927132.677116761,148559637.69049004,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xcc500cbcc8b7cf5bd21975ebbea34f21b5644c82,82,1923285.2139903994,118992267.19748005,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x241f846866c2de4fb67cdb0ca6b963d85e56ef50,83,1906970.3765469848,191856836.01904902,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x0562c423912e325f83fa79df55085979e1f5594f,84,1900869.104907077,5258429.264737001,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xf705fa045201391d9632b7f3cde06a5e24453ca7,85,1884478.9110193586,85643677.23962499,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x83720820a8aa6c3f20ad71850e7a1a17d16c5223,86,1859812.2226498213,58042902.940367,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x7058c8a7cec79010b1927d05837dcf25f1a53505,87,1849974.955234,7116597.407319001,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x6db568e61e5e3de7d87f831431b673f38ce2e279,88,1843368.4850500003,25634167.552230984,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x97cb27132b9dd66a2ef49390893cbeb26c3fe4d0,89,1839104.9443596746,4938242.256861001,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x5b4ec9c06b284ee52c41a761974d836992880232,90,1786919.8010592712,26769835.610498,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xea2b4224411e723499a803ce3f4758779fb31fc6,91,1777469.232795686,41746271.39609302,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x9ee8bbc36d378af72e5f6b8e2ea2eb67c05a89de,92,1777257.0006505577,25936744.130886003,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xd31a2ea0b5f9a10c2eb78dcc36df016497d5386e,93,1766594.0755744,4549552.753402,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xf5fabdcdc6eb6d9765a228824f16cca9c91f62df,94,1749103.885009,15351970.640071997,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xd0d6053c3c37e727402d84c14069780d360993aa,95,1720272.3545056034,208393328.89570904,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x84dbb7103982e3617704a2ed7d5b39691952aeeb,96,1694926.2112309015,81390891.350519,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x3d1ecf16942939b3603c2539a406514a40b504d0,97,1692881.7450910748,7083822.4238840025,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x212954857f5efc138748c33d032a93bf95974222,98,1685688.2159109998,76096376.17620899,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xa71093cafc0c099b4ccab24c3cb8018d817923c4,99,1671420.6246991823,71292157.287974,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xb91aeb5accc33a5f9a8615b8ed6b2d352e913987,100,1633834.106874,15515364.739929,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x204f72f35326db932158cba6adff0b9a1da95e14,1,23648430.598225985,1821627027.8536274,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x56687bf447db6ffa42ffe2204a05edaa20f55839,2,22053933.752321757,43065779.86288801,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,3,16619506.631730152,76615700.94724602,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,4,12798589.955782931,1082386122.4965754,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,5,11386690.875513865,298637138.56448394,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x96cfcb0c30942cfcd1cdf76c7d408794d66b1acb,6,9238344.623224001,17759922.232853003,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xed64a7bf029040aa331abc87902434d815ef217d,7,9063378.176199999,13281460.374667995,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xbc11a64ab34a03a043fbe80598fa065ee87eeec6,8,8928561.11799,23091318.15574806,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,9,8800473.725972392,912177694.808126,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x78b9ac44a6d7d7a076c14e0ad518b301b63c6b76,10,8709972.988069998,16402744.764627,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x664ce9fb97ae1bbd538d7381b2f4e92dab16f49c,11,8474966.272470918,19001698.927902,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x09b428f7c2b469786286214aa5c90dd9015f7320,12,8052184.542897382,72132442.51950999,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xd235973291b2b75ff4070e9c0b01728c520b0f29,13,7807265.589240883,47857879.86885199,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x3f87d51f27ba6e19ec52aaeebb68559a839c742c,14,7602742.057861,13603969.275332002,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x863134d00841b2e200492805a01e1e2f5defaa53,15,7532409.671579,13983231.103425,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x5e4c3b5b81171e2ca4ab776ac0d6bba787f9dba2,16,7409836.65260974,26282164.742855996,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x8119010a6e589062aa03583bb3f39ca632d9f887,17,6083643.099591745,23538463.308577005,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xe9ad918c7678cd38b12603a762e638a5d1ee7091,18,5942685.45339684,32196692.075936034,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x94f199fb7789f1aef7fff6b758d6b375100f4c7a,19,5711459.802519929,20086062.154324993,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x885783760858e1bd5dd09a3c3f916cfa251ac270,20,5642135.735356,11212839.523403002,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x23786fdad0073692157c6d7dc81f281843a35fcb,21,5147998.544602999,10884765.388775,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,22,4955880.748691755,537381457.7796528,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xd0c042c08f755ff940249f62745e82d356345565,23,4804855.613376001,9949068.653841998,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x006cc834cc092684f1b56626e23bedb3835c16ea,24,4718555.355944938,64887488.055066966,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xc2e7800b5af46e6093872b177b7a5e7f0563be51,25,4533673.665150218,233485648.854083,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xdc876e6873772d38716fda7f2452a78d426d7ab6,26,4526176.046414724,185485956.8620829,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x507e52ef684ca2dd91f90a9d26d149dd3288beae,27,4496083.47234411,444574703.614724,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xf0318c32136c2db7fec88b84869aee6a1106c80c,28,4479795.218192617,206814065.38546804,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xe549581668a5751c1972d3ad2d1991d900bd2d54,29,4280722.833949986,54987532.649972014,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1,30,4236957.292882026,476801375.3913392,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,31,4055413.259574452,248548251.18206796,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x16f91db2592924cfed6e03b7e5cb5bb1e32299e3,32,4049827.0941029997,9457725.03433801,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xf8831548531d56ad6a4331493243c447a827cd1f,33,3987825.6346347546,27927447.24347599,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xefbc5fec8d7b0acdc8911bdd9a98d6964308f9a2,34,3742635.156562068,13750266.834776003,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x019782cab5d844f02bafb71f512758be78579f3c,35,3668541.581104434,9413714.671942003,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,36,3649972.4887897642,84857126.42940998,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x16b29c50f2439faf627209b2ac0c7bbddaa8a881,37,3648171.8070388744,196877473.578477,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x9319a045cdd0c2180e5eb7ad44374383db9a6410,38,3622315.7843559403,9424885.913271999,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xee613b3fc183ee44f9da9c05f53e2da107e3debf,39,3588720.218017624,402061725.75413,ALL,PNL,0
