commence_time,home_team,away_team,final_pick,home_goals,away_goals,pred_outcome,market_rows,market_available,totals_available,spreads_available,market_alignment_score,market_alignment_label,market_alignment_reasons,bookmaker_count_totals,total_line,market_p_over,market_p_under,market_total_lean,market_total_lean_prob,bookmaker_count_spreads,avg_home_spread,bookmaker_count_h2h,market_p_home,market_p_draw,market_p_away,market_favourite,market_favourite_prob,validation_score,validation_label,h2h_bookmaker_count,totals_bookmaker_count,spreads_bookmaker_count,market_depth_class,snapshot_id,snapshot_created_at_utc
2026-06-25T20:00:00Z,Curacao,Ivory Coast,0-2,0,2,away,0,False,False,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,,,,,,,,,,,,,,,0.711091,acceptable,0,0,0,unavailable,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-25T20:00:00Z,Ecuador,Germany,0-2,0,2,away,251,True,True,True,0.894251,market_aligned,pick outcome agrees with market favourite; score margin direction agrees with spread,23.0,2.5,0.5157253865463993,0.4842746134536007,over,0.5157253865463993,10.0,0.55,56.0,0.2631251974527984,0.2512074241582795,0.4856673783889221,away,0.4856673783889221,0.656,acceptable,53,24,10,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-25T23:00:00Z,Japan,Sweden,2-1,2,1,home,238,True,True,True,0.986753,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; score margin direction agrees with spread,19.0,2.5,0.5310077871876405,0.4689922128123593,over,0.5310077871876405,10.0,-0.55,53.0,0.4756702388001469,0.2807888415709527,0.2435409196289004,home,0.4756702388001469,0.426364,review,50,22,10,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-25T23:00:00Z,Tunisia,Netherlands,0-2,0,2,away,238,True,True,True,0.88,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; score margin direction agrees with spread,1.0,2.5,0.6435643564356436,0.3564356435643564,over,0.6435643564356436,10.0,2.25,53.0,0.051656733212577,0.1159616469530673,0.8323816198343554,away,0.8323816198343554,0.88,validated,50,22,10,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-26T02:00:00Z,Paraguay,Australia,1-0,1,0,home,241,True,True,True,0.43243,market_conflict,pick outcome opposes market favourite; market gives selected outcome weak support; goal total agrees with market lean; score margin direction agrees with spread,1.0,2.5,0.326923076923077,0.6730769230769231,under,0.6730769230769231,11.0,-0.2727272727272727,52.0,0.3365733641712725,0.4201559023310848,0.2432707334976422,draw,0.4201559023310848,0.550909,fragile,49,24,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-26T02:00:00Z,Turkey,United States,1-2,1,2,away,0,False,False,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,,,,,,,,,,,,,,,0.555455,fragile,0,0,0,unavailable,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-26T19:00:00Z,Norway,France,0-2,0,2,away,237,True,True,True,0.92568,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; score margin direction agrees with spread,20.0,2.5,0.5190147437741828,0.4809852562258173,over,0.5190147437741828,11.0,0.8409090909090909,52.0,0.221604016851639,0.2508226638307216,0.5275733193176392,away,0.5275733193176392,0.412727,review,49,22,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-26T19:00:00Z,Senegal,Iraq,2-0,2,0,home,235,True,True,True,0.98,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; score margin direction agrees with spread,22.0,2.5,0.5182209697029696,0.4817790302970305,over,0.5182209697029696,10.0,-1.5,52.0,0.7312722923385486,0.176929995652596,0.0917977120088553,home,0.7312722923385486,0.88,validated,49,22,10,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-27T00:00:00Z,Cape Verde,Saudi Arabia,1-2,1,2,away,181,True,True,True,0.734964,market_aligned,pick outcome agrees with market favourite; spread market near even,14.0,2.5,0.4581409864214866,0.5418590135785133,under,0.5418590135785133,8.0,0.125,38.0,0.3598640798518656,0.2601836371807532,0.3799522829673811,away,0.3799522829673811,0.528182,fragile,36,18,8,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-27T00:00:00Z,Uruguay,Spain,0-2,0,2,away,193,True,True,True,0.98,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; score margin direction agrees with spread,18.0,2.5,0.5138202256619002,0.4861797743380998,over,0.5138202256619002,8.0,1.125,42.0,0.1550118211132648,0.2290794735494195,0.6159087053373153,away,0.6159087053373153,0.656,acceptable,39,18,8,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-27T03:00:00Z,New Zealand,Belgium,0-2,0,2,away,228,True,True,True,0.88,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; score margin direction agrees with spread,13.0,2.5,0.5835330716877739,0.4164669283122262,over,0.5835330716877739,10.0,1.625,51.0,0.07780780884373,0.1522371019407576,0.7699550892155124,away,0.7699550892155124,0.88,validated,48,20,10,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-27T03:00:00Z,Egypt,Iran,2-0,2,0,home,228,True,True,True,0.975041,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; score margin direction agrees with spread,4.0,2.5,0.3773324447829398,0.6226675552170602,under,0.6226675552170602,10.0,-0.525,51.0,0.460054711836815,0.298469539080406,0.241475749082779,home,0.460054711836815,0.412727,review,48,20,10,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-27T21:00:00Z,Croatia,Ghana,2-0,2,0,home,230,True,True,True,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; score margin direction agrees with spread,19.0,2.5,0.4623076323721316,0.5376923676278684,under,0.5376923676278684,10.0,-0.925,51.0,0.5838198518715765,0.2518318888635788,0.1643482592648449,home,0.5838198518715765,0.656,acceptable,48,21,10,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-27T21:00:00Z,Panama,England,0-2,0,2,away,228,True,True,True,0.88,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; score margin direction agrees with spread,13.0,2.5,0.5924921452305005,0.4075078547694994,over,0.5924921452305005,10.0,1.7,51.0,0.0845425752624855,0.1430905276906957,0.7723668970468187,away,0.7723668970468187,0.88,validated,48,20,10,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-27T23:30:00Z,Colombia,Portugal,0-2,0,2,away,230,True,True,True,0.976928,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; score margin direction agrees with spread,16.0,2.5,0.461290104509818,0.538709895490182,under,0.538709895490182,10.0,0.6,51.0,0.2630787279919728,0.2743509887300521,0.4625702832779749,away,0.4625702832779749,0.399091,review,48,21,10,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-27T23:30:00Z,DR Congo,Uzbekistan,2-1,2,1,home,230,True,True,True,0.872308,market_aligned,pick outcome agrees with market favourite; score margin direction agrees with spread,16.0,2.5,0.4590672495649375,0.5409327504350622,under,0.5409327504350622,10.0,-0.475,51.0,0.4564100514954781,0.2630309119385596,0.2805590365659622,home,0.4564100514954781,0.421818,review,48,21,10,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-28T02:00:00Z,Algeria,Austria,1-2,1,2,away,230,True,True,True,0.715171,market_mixed,pick outcome agrees with market favourite; goal total conflicts with market lean; score margin direction agrees with spread,16.0,2.5,0.4439623311174456,0.5560376688825543,under,0.5560376688825543,10.0,0.325,51.0,0.3115108753070272,0.3082614122600353,0.3802277124329374,away,0.3802277124329374,0.394545,review,48,21,10,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-28T02:00:00Z,Jordan,Argentina,0-2,0,2,away,228,True,True,True,0.88,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; score margin direction agrees with spread,4.0,2.5,0.598182010550877,0.4018179894491229,over,0.598182010550877,10.0,1.9,51.0,0.0698954159225846,0.1390210274813873,0.7910835565960278,away,0.7910835565960278,0.88,validated,48,20,10,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
