home,away,commence_time,actual_score,question,slug,match_type,active,closed,volume,liquidity,outcome_prices,yes_token_id,pre_kickoff_yes_price,pre_kickoff_price_time
HAI,SCO,,0-1,Will Haiti vs. Scotland end in a draw?,fifwc-hai-sco-2026-06-13-draw,draw_market,True,True,2397939.559846993,,"[""0"", ""1""]",24186604708120375516053204147615433593913499983599603531568767418358336827296,,
BRA,MAR,,1-1,Will Brazil win on 2026-06-13?,fifwc-bra-mar-2026-06-13-bra,home_win_market,True,True,15381429.4228347,,"[""0"", ""1""]",105492577477219588134242978490999229511934661984574714868659540712157271273221,,
BRA,MAR,,1-1,Will Morocco win on 2026-06-13?,fifwc-bra-mar-2026-06-13-mar,away_win_market,True,True,5942379.822132901,,"[""0"", ""1""]",75153795433255397954364392370254909445351765396945509274877503457182682318715,,
BRA,MAR,,1-1,Will Brazil vs. Morocco end in a draw?,fifwc-bra-mar-2026-06-13-draw,draw_market,True,True,4766120.346133054,,"[""1"", ""0""]",28514355574680631350512719849093140985552525989838015190207068633860196282876,,
QAT,SUI,,1-1,Will Qatar win on 2026-06-13?,fifwc-qat-che-2026-06-13-qat,home_win_market,True,True,7111085.21857801,,"[""0"", ""1""]",87801481723150143095656392688212600042782229576502495783917440071310994656016,,
QAT,SUI,,1-1,Will Switzerland win on 2026-06-13?,fifwc-qat-che-2026-06-13-che,away_win_market,True,True,6451012.17868902,,"[""0"", ""1""]",66066640081366099233010777058886646300763486736056057848435195209438713673265,,
QAT,SUI,,1-1,Will Qatar vs. Switzerland end in a draw?,fifwc-qat-che-2026-06-13-draw,draw_market,True,True,2037102.204283972,,"[""1"", ""0""]",84958042326881081629130565587739718054426374664464529827722909775907948361787,,
CAN,BIH,,1-1,Will Canada win on 2026-06-12?,fifwc-can-bih-2026-06-12-can,home_win_market,True,True,10789560.30480742,,"[""0"", ""1""]",94742454704773778167568688948405770414791647129006368131301932311609594298387,,
CAN,BIH,,1-1,Will Bosnia and Herzegovina win on 2026-06-12?,fifwc-can-bih-2026-06-12-bih,away_win_market,True,True,6168225.7688470185,,"[""0"", ""1""]",74187637053502514449598313026757559914734686113697608141302796666649587118979,,
CAN,BIH,,1-1,Will Canada vs. Bosnia and Herzegovina end in a draw?,fifwc-can-bih-2026-06-12-draw,draw_market,True,True,1739460.341858996,,"[""1"", ""0""]",22172667310022772208699373598096867628027942277851933544696144873879741224440,,
MEX,RSA,,2-0,Will Mexico win on 2026-06-11?,fifwc-mex-rsa-2026-06-11-mex,home_win_market,True,True,10340701.03032523,,"[""1"", ""0""]",20779063998268474490699884714808310289659170477959115489741275295270359962039,,
MEX,RSA,,2-0,Will South Africa win on 2026-06-11?,fifwc-mex-rsa-2026-06-11-rsa,away_win_market,True,True,3279637.5477360315,,"[""0"", ""1""]",115307860962719805060784163204351769077176612029040401546976102705811910754396,,
