home_team,away_team,raw_pick,candidate_pick,scenarios_tested,scenarios_passed,scenarios_positive_delta,mean_delta_p_finish_first,min_delta_p_finish_first,max_delta_p_finish_first,mean_ev_loss,max_ev_loss,mean_z_score,pass_rate,positive_delta_rate,robust_switch
Germany,Ivory Coast,2-0,3-0,11,0,0,-0.0072654545454545446,-0.00912,-0.00497,0.08509663636363637,0.100335,-10.467272727272727,0.0,0.0,False
Panama,England,0-2,1-3,11,0,0,-0.00746,-0.0115,-0.00403,0.08436772727272727,0.110265,-10.507,0.0,0.0,False
Tunisia,Netherlands,0-2,1-2,11,0,0,-0.007476363636363637,-0.00829,-0.00601,0.08460718181818182,0.095685,-10.609909090909092,0.0,0.0,False
Bosnia & Herzegovina,Qatar,2-0,3-0,11,0,0,-0.007494545454545454,-0.00891,-0.00575,0.09369509090909091,0.110201,-10.316363636363636,0.0,0.0,False
Scotland,Brazil,0-2,1-2,11,0,0,-0.00788,-0.00948,-0.006,0.08637463636363636,0.09645,-11.155090909090909,0.0,0.0,False
Spain,Saudi Arabia,3-0,4-0,11,0,0,-0.007938181818181818,-0.01016,-0.00618,0.10489727272727273,0.122794,-9.784363636363636,0.0,0.0,False
Tunisia,Netherlands,0-2,1-3,11,0,0,-0.008066363636363637,-0.01158,-0.00575,0.09067145454545454,0.1157,-11.503,0.0,0.0,False
Panama,England,0-2,1-2,11,0,0,-0.008125454545454545,-0.01068,-0.00583,0.09613163636363636,0.107948,-11.544727272727274,0.0,0.0,False
Scotland,Brazil,0-2,0-1,11,0,0,-0.008253636363636364,-0.01102,-0.00719,0.09613318181818183,0.105757,-10.881272727272728,0.0,0.0,False
Belgium,Iran,2-0,1-0,11,0,0,-0.008340909090909092,-0.00986,-0.00676,0.09407372727272727,0.103406,-11.132818181818182,0.0,0.0,False
Norway,Senegal,2-1,3-1,11,0,0,-0.008545454545454545,-0.00989,-0.00683,0.08421054545454545,0.091814,-14.416272727272728,0.0,0.0,False
Jordan,Argentina,0-2,1-2,11,0,0,-0.008683636363636364,-0.00998,-0.00753,0.09856227272727272,0.111102,-12.562818181818182,0.0,0.0,False
Japan,Sweden,2-1,3-1,11,0,0,-0.00891909090909091,-0.01035,-0.00796,0.08661054545454545,0.094408,-14.706272727272728,0.0,0.0,False
DR Congo,Uzbekistan,2-1,3-1,11,0,0,-0.009030909090909091,-0.01034,-0.00779,0.08703372727272728,0.094834,-14.859454545454547,0.0,0.0,False
Germany,Ivory Coast,2-0,1-0,11,0,0,-0.009103636363636362,-0.00971,-0.00793,0.09486072727272728,0.099196,-13.935818181818183,0.0,0.0,False
Bosnia & Herzegovina,Qatar,2-0,1-0,11,0,0,-0.00913090909090909,-0.0103,-0.00787,0.1022050909090909,0.107902,-13.296454545454544,0.0,0.0,False
Uruguay,Spain,0-2,1-3,11,0,0,-0.009147272727272728,-0.01207,-0.00584,0.10250836363636363,0.123825,-13.66309090909091,0.0,0.0,False
Ecuador,Germany,0-2,1-3,11,0,0,-0.009467272727272727,-0.01159,-0.00609,0.09423372727272729,0.113752,-14.5,0.0,0.0,False
Senegal,Iraq,2-0,1-0,11,0,0,-0.009499090909090908,-0.01091,-0.00776,0.10990463636363637,0.12045,-11.944454545454546,0.0,0.0,False
Colombia,Portugal,0-2,1-3,11,0,0,-0.009516363636363635,-0.01208,-0.00796,0.08326681818181818,0.099092,-15.776272727272726,0.0,0.0,False
Czech Republic,Mexico,0-2,1-3,11,0,0,-0.009628181818181819,-0.01085,-0.00845,0.08958481818181818,0.105081,-15.995727272727272,0.0,0.0,False
