archive_date,archive_timestamp_utc,match_id,commence_time,home_team,away_team,locked_pick,locked_pick_outcome,locked_pick_ev,best_ev_scoreline,best_ev_expected_points,ev_gap_vs_locked,review_level,oddspedia_top1_score,oddspedia_top1_pct,oddspedia_top2_score,oddspedia_top2_pct,oddspedia_top3_score,oddspedia_top3_pct,market_consensus_direction,market_p_home_win,market_p_draw,market_p_away_win,grid_over_2_5_pct,grid_btts_pct,market_p_over_2_5,market_p_btts_yes,ou25_diff_pct,btts_diff_pct,independence_class,signal_consistency,pick_follows,actual_score,actual_outcome,backtest_points
2026-06-21,2026-06-21T08:20:48.098371+00:00,switzerland-canada,2026-06-24T19:00:00Z,Switzerland,Canada,1-0,home,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,morocco-haiti,2026-06-24T22:00:00Z,Morocco,Haiti,2-0,home,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,scotland-brazil,2026-06-24T22:00:00Z,Scotland,Brazil,0-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,czech-republic-mexico,2026-06-25T01:00:00Z,Czech Republic,Mexico,0-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,south-africa-south-korea,2026-06-25T01:00:00Z,South Africa,South Korea,0-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,curacao-ivory-coast,2026-06-25T20:00:00Z,Curacao,Ivory Coast,0-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,ecuador-germany,2026-06-25T20:00:00Z,Ecuador,Germany,0-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,japan-sweden,2026-06-25T23:00:00Z,Japan,Sweden,2-1,home,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,tunisia-netherlands,2026-06-25T23:00:00Z,Tunisia,Netherlands,0-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,paraguay-australia,2026-06-26T02:00:00Z,Paraguay,Australia,1-0,home,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,turkey-united-states,2026-06-26T02:00:00Z,Turkey,United States,1-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,senegal-iraq,2026-06-26T19:00:00Z,Senegal,Iraq,2-0,home,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,norway-france,2026-06-26T19:00:00Z,Norway,France,1-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,cape-verde-saudi-arabia,2026-06-27T00:00:00Z,Cape Verde,Saudi Arabia,1-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,uruguay-spain,2026-06-27T00:00:00Z,Uruguay,Spain,0-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,new-zealand-belgium,2026-06-27T03:00:00Z,New Zealand,Belgium,0-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,egypt-iran,2026-06-27T03:00:00Z,Egypt,Iran,2-0,home,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,croatia-ghana,2026-06-27T21:00:00Z,Croatia,Ghana,2-0,home,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,panama-england,2026-06-27T21:00:00Z,Panama,England,0-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,colombia-portugal,2026-06-27T23:30:00Z,Colombia,Portugal,0-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,dr-congo-uzbekistan,2026-06-27T23:30:00Z,DR Congo,Uzbekistan,2-1,home,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,algeria-austria,2026-06-28T02:00:00Z,Algeria,Austria,0-1,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,jordan-argentina,2026-06-28T02:00:00Z,Jordan,Argentina,0-2,away,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
