intent_id,mode,action,venue,commence_time,match,outcome,model_prob,market_price,bid,ask,edge,stake_usdc,expected_pnl_usdc,status
MAR-0033,MARKET_MAKE,QUOTE,polymarket,2026-06-23T23:00:00Z,Panama v Croatia,away,0.6174,0.6195,0.6095,0.6295,0.02,60.95,2.0,DRY_RUN
MAR-0034,MARKET_MAKE,QUOTE,polymarket,2026-06-24T02:00:00Z,Colombia v DR Congo,home,0.6335,0.6343,0.6243,0.6443,0.02,62.43,2.0,DRY_RUN
MAR-0035,MARKET_MAKE,QUOTE,polymarket,2026-06-24T02:00:00Z,Colombia v DR Congo,draw,0.2282,0.2302,0.2202,0.2402,0.02,22.02,2.0,DRY_RUN
MAR-0036,MARKET_MAKE,QUOTE,polymarket,2026-06-24T02:00:00Z,Colombia v DR Congo,away,0.1383,0.1355,0.1255,0.1455,0.02,12.55,2.0,DRY_RUN
MAR-0037,MARKET_MAKE,QUOTE,polymarket,2026-06-24T19:00:00Z,Bosnia & Herzegovina v Qatar,home,0.6681,0.6671,0.6571,0.6771,0.02,65.71,2.0,DRY_RUN
MAR-0038,MARKET_MAKE,QUOTE,polymarket,2026-06-24T19:00:00Z,Bosnia & Herzegovina v Qatar,draw,0.193,0.1957,0.1857,0.2057,0.02,18.57,2.0,DRY_RUN
MAR-0039,MARKET_MAKE,QUOTE,polymarket,2026-06-24T19:00:00Z,Bosnia & Herzegovina v Qatar,away,0.1389,0.1372,0.1272,0.1472,0.02,12.72,2.0,DRY_RUN
MAR-0040,MARKET_MAKE,QUOTE,polymarket,2026-06-24T19:00:00Z,Switzerland v Canada,home,0.3881,0.3917,0.3817,0.4017,0.02,38.17,2.0,DRY_RUN
MAR-0041,MARKET_MAKE,QUOTE,polymarket,2026-06-24T19:00:00Z,Switzerland v Canada,draw,0.3219,0.3078,0.2978,0.3178,0.02,29.78,2.0,DRY_RUN
MAR-0042,MARKET_MAKE,QUOTE,polymarket,2026-06-24T19:00:00Z,Switzerland v Canada,away,0.2899,0.3005,0.2905,0.3105,0.02,29.05,2.0,DRY_RUN
MAR-0043,MARKET_MAKE,QUOTE,polymarket,2026-06-24T22:00:00Z,Scotland v Brazil,home,0.1416,0.1225,0.1125,0.1325,0.02,11.25,2.0,DRY_RUN
MAR-0044,MARKET_MAKE,QUOTE,polymarket,2026-06-24T22:00:00Z,Scotland v Brazil,draw,0.1785,0.1875,0.1775,0.1975,0.02,17.75,2.0,DRY_RUN
MAR-0045,MARKET_MAKE,QUOTE,polymarket,2026-06-24T22:00:00Z,Scotland v Brazil,away,0.6799,0.69,0.68,0.7,0.02,68.0,2.0,DRY_RUN
MAR-0046,MARKET_MAKE,QUOTE,polymarket,2026-06-24T22:00:00Z,Morocco v Haiti,home,0.8015,0.8017,0.7917,0.8117,0.02,79.17,2.0,DRY_RUN
MAR-0047,MARKET_MAKE,QUOTE,polymarket,2026-06-24T22:00:00Z,Morocco v Haiti,draw,0.1385,0.1388,0.1288,0.1488,0.02,12.88,2.0,DRY_RUN
MAR-0048,MARKET_MAKE,QUOTE,polymarket,2026-06-24T22:00:00Z,Morocco v Haiti,away,0.06,0.0596,0.0496,0.0696,0.02,4.96,2.0,DRY_RUN
MAR-0049,MARKET_MAKE,QUOTE,polymarket,2026-06-25T01:00:00Z,Czech Republic v Mexico,home,0.2652,0.2572,0.2472,0.2672,0.02,24.72,2.0,DRY_RUN
MAR-0050,MARKET_MAKE,QUOTE,polymarket,2026-06-25T01:00:00Z,Czech Republic v Mexico,draw,0.24,0.2548,0.2448,0.2648,0.02,24.48,2.0,DRY_RUN
MAR-0051,MARKET_MAKE,QUOTE,polymarket,2026-06-25T01:00:00Z,Czech Republic v Mexico,away,0.4948,0.488,0.478,0.498,0.02,47.8,2.0,DRY_RUN
MAR-0052,MARKET_MAKE,QUOTE,polymarket,2026-06-25T01:00:00Z,South Africa v South Korea,home,0.1692,0.167,0.157,0.177,0.02,15.7,2.0,DRY_RUN
MAR-0053,MARKET_MAKE,QUOTE,polymarket,2026-06-25T01:00:00Z,South Africa v South Korea,draw,0.2386,0.2426,0.2326,0.2526,0.02,23.26,2.0,DRY_RUN
MAR-0054,MARKET_MAKE,QUOTE,polymarket,2026-06-25T01:00:00Z,South Africa v South Korea,away,0.5922,0.5904,0.5804,0.6004,0.02,58.04,2.0,DRY_RUN
MAR-0055,MARKET_MAKE,QUOTE,polymarket,2026-06-25T20:00:00Z,Curaçao v Ivory Coast,home,0.055,0.0528,0.0428,0.0628,0.02,4.28,2.0,DRY_RUN
MAR-0056,MARKET_MAKE,QUOTE,polymarket,2026-06-25T20:00:00Z,Curaçao v Ivory Coast,draw,0.1172,0.1127,0.1027,0.1227,0.02,10.27,2.0,DRY_RUN
MAR-0057,MARKET_MAKE,QUOTE,polymarket,2026-06-25T20:00:00Z,Curaçao v Ivory Coast,away,0.8278,0.8345,0.8245,0.8445,0.02,82.45,2.0,DRY_RUN
MAR-0058,MARKET_MAKE,QUOTE,polymarket,2026-06-25T20:00:00Z,Ecuador v Germany,home,0.2705,0.2633,0.2533,0.2733,0.02,25.33,2.0,DRY_RUN
MAR-0059,MARKET_MAKE,QUOTE,polymarket,2026-06-25T20:00:00Z,Ecuador v Germany,draw,0.2395,0.2508,0.2408,0.2608,0.02,24.08,2.0,DRY_RUN
MAR-0060,MARKET_MAKE,QUOTE,polymarket,2026-06-25T20:00:00Z,Ecuador v Germany,away,0.49,0.4859,0.4759,0.4959,0.02,47.59,2.0,DRY_RUN
MAR-0061,MARKET_MAKE,QUOTE,polymarket,2026-06-25T23:00:00Z,Japan v Sweden,home,0.4763,0.4709,0.4609,0.4809,0.02,46.09,2.0,DRY_RUN
MAR-0062,MARKET_MAKE,QUOTE,polymarket,2026-06-25T23:00:00Z,Japan v Sweden,draw,0.2951,0.2814,0.2714,0.2914,0.02,27.14,2.0,DRY_RUN
MAR-0063,MARKET_MAKE,QUOTE,polymarket,2026-06-25T23:00:00Z,Japan v Sweden,away,0.2285,0.2477,0.2377,0.2577,0.02,23.77,2.0,DRY_RUN
MAR-0064,MARKET_MAKE,QUOTE,polymarket,2026-06-25T23:00:00Z,Tunisia v Netherlands,home,0.053,0.0538,0.0438,0.0638,0.02,4.38,2.0,DRY_RUN
