generated_at_utc,snapshot_date,wallet_role,wallet_address,reconciliation_status,internal_nav_usd,data_api_nav_usd,onchain_nav_usd,max_pairwise_delta_usd,unexplained_discrepancy_usd,contracts_page_sha256,rpc_chain_id
2026-07-29T16:00:10Z,2026-07-29,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,44b735deb4f7026a4cac03ffe91fec80fc7f8fc05208190345ce6fe4b6134f3d,137
2026-07-29T16:57:55Z,2026-07-29,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,44b735deb4f7026a4cac03ffe91fec80fc7f8fc05208190345ce6fe4b6134f3d,137
2026-07-29T17:59:29Z,2026-07-29,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,44b735deb4f7026a4cac03ffe91fec80fc7f8fc05208190345ce6fe4b6134f3d,137
2026-07-29T18:56:01Z,2026-07-29,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,8b8034964f377d71d5409820000f31e39705cc0e496048325642af1a691daf17,137
2026-07-29T19:42:56Z,2026-07-29,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,8b8034964f377d71d5409820000f31e39705cc0e496048325642af1a691daf17,137
2026-07-29T20:30:43Z,2026-07-29,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,8b8034964f377d71d5409820000f31e39705cc0e496048325642af1a691daf17,137
2026-07-29T21:15:10Z,2026-07-29,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,8b8034964f377d71d5409820000f31e39705cc0e496048325642af1a691daf17,137
2026-07-29T21:35:38Z,2026-07-29,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,8b8034964f377d71d5409820000f31e39705cc0e496048325642af1a691daf17,137
2026-07-30T21:50:13Z,2026-07-30,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,863a2e7f277544293273d3c23886a45f5c24070b595b10370238d9ccb676aaf3,137
2026-07-31T07:07:08Z,2026-07-31,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,863a2e7f277544293273d3c23886a45f5c24070b595b10370238d9ccb676aaf3,137
2026-07-31T22:04:47Z,2026-07-31,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,b51575ffdd15fbf1f5aae90d84dbfc47a27e071b0328b45403f40cfd822f11eb,137
2026-08-01T09:53:37Z,2026-08-01,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,b51575ffdd15fbf1f5aae90d84dbfc47a27e071b0328b45403f40cfd822f11eb,137
2026-08-01T22:20:42Z,2026-08-01,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,6efeb0fea925c17475c6431f5c36b9ff11b09e80621e35ee7152410b12196c95,137
2026-08-02T22:33:37Z,2026-08-02,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,89c061cb466bc67c893b8ca4fb7747137648c7083077022c064f6999bc5c3799,137
2026-08-03T22:48:18Z,2026-08-03,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,ff25d3d85a001bcda9a58c2cc6768c41ee5922365a3a7607fa0310ca925f16c9,137
2026-08-04T12:38:33Z,2026-08-04,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,ff25d3d85a001bcda9a58c2cc6768c41ee5922365a3a7607fa0310ca925f16c9,137
2026-08-04T23:05:10Z,2026-08-04,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,217b549b1832e5f3f1830a36f1826d15be614616a698afb56cbd3965587da67e,137
2026-08-05T06:41:31Z,2026-08-05,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,217b549b1832e5f3f1830a36f1826d15be614616a698afb56cbd3965587da67e,137
