shadow_position_id,signal_cohort,category,market_slug,close_reason,quantity,entry_fill_price,entry_mid_price,line_price,line_kind,exit_price,model_probability,model_claimed_edge_per_share,execution_cost_per_share,line_movement_per_share,settlement_surprise_per_share,total_pnl_per_share,execution_cost_usdc,line_movement_usdc,settlement_surprise_usdc,total_pnl_usdc
shadow_position_e14a5d4a4a01950d00483c36,crypto,crypto,will-the-price-of-bitcoin-be-between-64000-66000-on-july-12-2026,shadow_take_profit,22.727273,0.44,0.435,0.007,closing,0.55,0.524156,0.089156,0.005,-0.428,0.543,0.11,0.113636,-9.727273,12.340909,2.5
shadow_position_56d6ebd7b9954918d97200db,crypto,crypto,xrp-above-1pt1-on-july-12-2026,shadow_stop_loss,23.228804,0.4305,0.4,0.86,closing,0.18,0.489156,0.089156,0.0305,0.46,-0.68,-0.2505,0.708479,10.68525,-15.795587,-5.818815
shadow_position_4179a934f2ff5f8b2a445e96,crypto,crypto,will-the-price-of-bitcoin-be-between-62000-64000-on-july-12-2026,shadow_take_profit,22.222222,0.45,0.445,0.0065,closing,0.66,0.534156,0.089156,0.005,-0.4385,0.6535,0.21,0.111111,-9.744444,14.522222,4.666667
shadow_position_898313ab5da222ecabb43926,crypto,crypto,bitcoin-above-64k-on-july-12-2026,shadow_take_profit,23.255814,0.43,0.425,0.014,closing,0.54,0.544156,0.119156,0.005,-0.411,0.526,0.11,0.116279,-9.55814,12.232558,2.55814
shadow_position_c79260bff98f9d03aad77567,crypto,crypto,will-the-price-of-ethereum-be-between-1700-1800-on-july-12-2026,shadow_take_profit,21.164021,0.4725,0.445,0.997,closing,0.65,0.534156,0.089156,0.0275,0.552,-0.347,0.1775,0.582011,11.68254,-7.343915,3.756614
shadow_position_234813f8dd9d7bf34ccff686,crypto,crypto,ethereum-above-1800-on-july-12-2026,shadow_take_profit,23.255814,0.43,0.425,0.9995,closing,0.62,0.514156,0.089156,0.005,0.5745,-0.3795,0.19,0.116279,13.360465,-8.825581,4.418605
shadow_position_4946a2f7f572490f8337f263,crypto,crypto,will-the-price-of-bitcoin-be-between-64000-66000-on-july-12-2026,shadow_stop_loss,22.222222,0.45,0.445,0.993,closing,0.26,0.534156,0.089156,0.005,0.548,-0.733,-0.19,0.111111,12.177778,-16.288889,-4.222222
shadow_position_fdca1f25b4eb64fdcf4c9c06,crypto,crypto,bitcoin-above-64k-on-july-12-2026,shadow_take_profit,28.571429,0.35,0.345,0.986,closing,0.44,0.504156,0.159156,0.005,0.641,-0.546,0.09,0.142857,18.314286,-15.6,2.571429
shadow_position_df33341b9ef5223e303b6157,crypto,crypto,ethereum-above-1800-on-july-12-2026,shadow_take_profit,23.809524,0.42,0.415,0.0005,closing,0.55,0.504156,0.089156,0.005,-0.4145,0.5495,0.13,0.119048,-9.869048,13.083333,3.095238
shadow_position_040bda3b342629c25cd95e28,crypto,crypto,will-the-price-of-bitcoin-be-between-64000-66000-on-july-12-2026,shadow_take_profit,20.408163,0.49,0.485,0.007,closing,0.62,0.574156,0.089156,0.005,-0.478,0.613,0.13,0.102041,-9.755102,12.510204,2.653061
shadow_position_289a8067b309dab0718dfac3,crypto,crypto,bitcoin-above-64k-on-july-12-2026,shadow_take_profit,16.666667,0.6,0.59,0.986,closing,0.79,0.494156,-0.095844,0.01,0.396,-0.196,0.19,0.166667,6.6,-3.266667,3.166667
shadow_position_4acae404b6c4b94bacb4e1ca,crypto,crypto,bitcoin-above-62k-on-july-16-2026,shadow_take_profit,32.258065,0.31,0.3,0.0005,closing,0.39,0.396944,0.096944,0.01,-0.2995,0.3895,0.08,0.322581,-9.66129,12.564516,2.580645
shadow_position_9ff001338b57c0190f9b4e13,crypto,crypto,bitcoin-above-64k-on-july-16-2026,shadow_stop_loss,28.571429,0.35,0.345,0.9995,closing,0.22,0.441944,0.096944,0.005,0.6545,-0.7795,-0.13,0.142857,18.7,-22.271429,-3.714286
shadow_position_d3026655148db9f52407e06a,soccer_match,worldcup,will-mike-maignan-win-the-golden-glove-at-the-2026-fifa-world-cup-20260603195307476,shadow_stop_loss,25.0,0.4,0.385,0.0005,closing,0.22,0.481944,0.096944,0.015,-0.3845,0.2195,-0.18,0.375,-9.6125,5.4875,-4.5
shadow_position_004bccb27d4d890542c03a53,soccer_match,worldcup,will-5-matches-be-decided-by-penalty-shootout-during-the-2026-fifa-world-cup-20260610210228790,shadow_take_profit,20.833333,0.48,0.475,0.9945,closing,0.6,0.5581,0.0831,0.005,0.5195,-0.3945,0.12,0.104167,10.822917,-8.21875,2.5
shadow_position_e835aef8e903ac69515252d3,crypto,crypto,will-xrp-dip-to-0pt5-july-13-19-2026,shadow_stop_loss,200.0,0.05,0.495,0.0005,closing,0.002,0.494342,-0.000658,-0.445,-0.4945,0.0015,-0.048,-89.0,-98.9,0.3,-9.6
shadow_position_7243f05784028c752002a087,crypto,crypto,will-xrp-dip-to-0pt6-july-13-19-2026,shadow_stop_loss,200.0,0.05,0.495,0.0005,closing,0.001,0.494342,-0.000658,-0.445,-0.4945,0.0005,-0.049,-89.0,-98.9,0.1,-9.8
shadow_position_5e1029868c6a835fdef41aaa,crypto,crypto,will-xrp-dip-to-0pt7-july-13-19-2026,shadow_stop_loss,200.0,0.05,0.495,0.0115,closing,0.001,0.494342,-0.000658,-0.445,-0.4835,-0.0105,-0.049,-89.0,-96.7,-2.1,-9.8
shadow_position_66dfca4aeff978653006da59,near_miss_learning|baseball_mlb_match,baseball_mlb_match,will-jordan-walker-advance-to-the-semifinals-of-the-2026-mlb-home-run-derby-20260709211856743,shadow_stop_loss,19.607843,0.51,0.495,0.45,closing,0.19,0.584156,0.089156,0.015,-0.045,-0.26,-0.32,0.294118,-0.882353,-5.098039,-6.27451
shadow_position_a45cfddba34bcb1895a29853,worldcup_2026_winner_fundamental,worldcup,will-argentina-win-the-2026-fifa-world-cup-245,shadow_stop_loss,57.142857,0.175,0.1745,0.4125,closing,0.091,0.20471,0.03021,0.0005,0.238,-0.3215,-0.084,0.028571,13.6,-18.371429,-4.8
shadow_position_a2266953e6b26b145ac39b8e,near_miss_learning|baseball_mlb_match,baseball_mlb_match,will-jac-caglianone-advance-to-the-semifinals-of-the-2026-mlb-home-run-derby-20260709211856742,shadow_stop_loss,22.222222,0.45,0.435,0.7,closing,0.05,0.524156,0.089156,0.015,0.265,-0.65,-0.4,0.333333,5.888889,-14.444444,-8.888889
shadow_position_8a12ff3ee7ec35b286c9fe3c,soccer_match,worldcup,will-lionel-messi-be-the-top-goalscorer-at-the-2026-fifa-world-cup,shadow_take_profit,29.325513,0.341,0.3405,0.0005,closing,0.427,0.437444,0.096944,0.0005,-0.34,0.4265,0.086,0.014663,-9.970674,12.507331,2.521994
shadow_position_54dd64503882fc405cb29181,near_miss_learning|baseball_mlb_match,baseball_mlb_match,will-jordan-walker-advance-to-the-semifinals-of-the-2026-mlb-home-run-derby-20260709211856743,shadow_stop_loss,20.0,0.5,0.485,0.55,closing,0.08,0.574156,0.089156,0.015,0.065,-0.47,-0.42,0.3,1.3,-9.4,-8.4
shadow_position_faa5e3e3bb6d9f364018c4fa,near_miss_learning|baseball_mlb_match,baseball_mlb_match,will-ben-rice-advance-to-the-semifinals-of-the-2026-mlb-home-run-derby-20260709211856740,shadow_stop_loss,21.73913,0.46,0.45,0.44,closing,0.16,0.539156,0.089156,0.01,-0.01,-0.28,-0.3,0.217391,-0.217391,-6.086957,-6.521739
shadow_position_17403b1970d1d4ff80975098,near_miss_learning|geopolitics,geopolitics,will-kyle-schwarber-win-the-2026-mlb-home-run-derby,shadow_stop_loss,42.735043,0.234,0.231,0.2305,closing,0.041,0.289776,0.058776,0.003,-0.0005,-0.1895,-0.193,0.128205,-0.021368,-8.098291,-8.247863
shadow_position_e69ba7f493f38bfd59ee3df9,baseball_mlb_match,baseball_mlb_match,mlb-al-nl-2026-07-14-total-8pt5,shadow_take_profit,21.73913,0.46,0.455,0.475,closing,0.59,0.544156,0.089156,0.005,0.02,0.115,0.13,0.108696,0.434783,2.5,2.826087
shadow_position_2b7f0afbdf87387205b6eb02,baseball_mlb_match,baseball_mlb_match,mlb-al-nl-2026-07-14-total-7pt5,shadow_stop_loss,22.222222,0.45,0.445,0.415,closing,0.26,0.534156,0.089156,0.005,-0.03,-0.155,-0.19,0.111111,-0.666667,-3.444444,-4.222222
shadow_position_0df1942f344d787ee6c48ba3,ai_model_leader,ai_model_leader,will-anthropic-have-the-best-ai-model-at-the-end-of-december-2026,shadow_time_exit,27.027027,0.37,0.36,0.285,latest_provisional,0.34,0.476506,0.116506,0.01,-0.075,0.055,-0.03,0.27027,-2.027027,1.486486,-0.810811
shadow_position_b7e27abe01a53689098b5f1f,near_miss_learning|tennis_match,tennis,will-jannik-sinner-win-the-2026-mens-us-open,shadow_time_exit,20.833333,0.48,0.475,0.66,latest_provisional,0.47,0.5281,0.0531,0.005,0.185,-0.19,-0.01,0.104167,3.854167,-3.958333,-0.208333
shadow_position_a4e89bf608cafa4e2e2a8094,near_miss_learning|macro_economy,macro_economy,will-the-us-economy-be-overheating-at-the-end-of-2026,shadow_stop_loss,25.0,0.4,0.395,0.345,latest_provisional,0.19,0.4881,0.0931,0.005,-0.05,-0.155,-0.21,0.125,-1.25,-3.875,-5.25
shadow_position_1efd75b730b8409d5b444dfd,ai_model_leader,ai_model_leader,will-anthropic-have-the-best-ai-model-at-the-end-of-december-2026,shadow_time_exit,28.571429,0.35,0.345,0.285,latest_provisional,0.35,0.461506,0.116506,0.005,-0.06,0.065,0.0,0.142857,-1.714286,1.857143,0.0
shadow_position_5d354efbe02bf79b9356cbde,near_miss_learning|macro_economy,macro_economy,will-the-us-economy-be-in-a-soft-landing-at-the-end-of-2026,shadow_time_exit,15.873016,0.63,0.56,0.615,latest_provisional,0.57,0.5181,-0.0419,0.07,0.055,-0.045,-0.06,1.111111,0.873016,-0.714286,-0.952381
shadow_position_36a2474c1c15126cf5fcd7d9,near_miss_learning|basketball_nba_match,basketball_nba_match,will-cameron-boozer-win-the-2026-27-nba-rookie-of-the-year-20260624161716882,shadow_time_exit,43.478261,0.23,0.225,0.225,latest_provisional,0.22,0.283776,0.058776,0.005,0.0,-0.005,-0.01,0.217391,0.0,-0.217391,-0.434783
shadow_position_9ea23164a1e54b668a9832b5,ai_model_leader,ai_model_leader,will-anthropic-have-the-best-ai-model-at-the-end-of-december-2026,shadow_time_exit,27.777778,0.36,0.355,0.285,latest_provisional,0.31,0.471506,0.116506,0.005,-0.07,0.025,-0.05,0.138889,-1.944444,0.694444,-1.388889
shadow_position_e8bd2b423895ad5f54b4362a,macro_economy,macro_economy,will-the-us-economy-be-overheating-at-the-end-of-2026,shadow_time_exit,27.027027,0.37,0.36,0.345,latest_provisional,0.35,0.441506,0.081506,0.01,-0.015,0.005,-0.02,0.27027,-0.405405,0.135135,-0.540541
shadow_position_4add0f7fcc628eb025631dba,near_miss_learning|macro_economy,macro_economy,will-the-us-economy-be-in-a-soft-landing-at-the-end-of-2026,shadow_time_exit,21.73913,0.46,0.455,0.385,latest_provisional,0.45,0.5181,0.0631,0.005,-0.07,0.065,-0.01,0.108696,-1.521739,1.413043,-0.217391
shadow_position_26c6ed0d42c5644e0820e70a,near_miss_learning|policy_legal,policy_legal,will-aj-dybantsa-win-the-2026-27-nba-rookie-of-the-year-20260624161716880,shadow_time_exit,47.619048,0.21,0.205,0.205,latest_provisional,0.2,0.263776,0.058776,0.005,0.0,-0.005,-0.01,0.238095,0.0,-0.238095,-0.47619
