signal_cohort,positions,open_positions,closed_positions,cost_basis_usdc,realised_pnl_usdc,unrealised_pnl_usdc,total_pnl_usdc,roi
exploratory_crypto_updown_live_model|crypto_btc_updown_daily|outcome=up,2,0,2,20.0,-2.6844583987441135,0.0,-2.6844583987441135,-0.13422291993720567
geopolitics,4,0,4,40.0,-3.058478062421278,0.0,-3.058478062421278,-0.07646195156053195
policy_legal,1,0,1,10.0,-3.5294117647058822,0.0,-3.5294117647058822,-0.3529411764705882
structural|longshot_no|baseball_mlb_match,5,0,5,50.0,-3.8626716604244757,0.0,-3.8626716604244757,-0.07725343320848951
near_miss_learning|crypto_btc_updown_event,1,0,1,10.0,-4.230769230769231,0.0,-4.230769230769231,-0.4230769230769231
tennis_match,8,0,8,80.0,-4.70046112873411,0.0,-4.70046112873411,-0.05875576410917638
crypto_btc_updown_event,3,0,3,30.0,-4.988475177304965,0.0,-4.988475177304965,-0.1662825059101655
structural|longshot_no|ai_model_leader,6,0,6,60.0,-5.334192436858226,0.0,-5.334192436858226,-0.08890320728097043
near_miss_learning|macro_economy,4,0,4,40.0,-5.931967378679998,0.0,-5.931967378679998,-0.14829918446699994
tennis_tennis_total,6,0,6,60.0,-6.114531474221021,0.0,-6.114531474221021,-0.10190885790368369
worldcup_2026_winner_fundamental,3,0,3,30.0,-6.3314730694354315,0.0,-6.3314730694354315,-0.21104910231451438
baseball_mlb_match,5,0,5,50.0,-6.966728415241003,0.0,-6.966728415241003,-0.13933456830482005
soccer_match,6,0,6,60.0,-7.453050428382497,0.0,-7.453050428382497,-0.12421750713970828
crypto,22,0,22,220.0,-7.59528028030987,0.0,-7.59528028030987,-0.034524001274135775
near_miss_learning|tennis_tennis_total,3,0,3,30.0,-9.370519968141995,0.0,-9.370519968141995,-0.3123506656047332
near_miss_learning|unknown,5,0,5,50.0,-9.985328952103593,0.0,-9.985328952103593,-0.19970657904207187
crypto_eth_updown_15m,1,1,0,10.0,0.0,-9.99997435897436,-9.99997435897436,-0.999997435897436
exploratory_historical_rule|crypto_sol_updown_event|outcome=up,1,0,1,10.0,-10.0,0.0,-10.0,-1.0
esports_match,6,0,6,60.0,-10.41550046069284,0.0,-10.41550046069284,-0.17359167434488068
near_miss_learning|equities_macro,4,0,4,40.0,-10.886502963553157,0.0,-10.886502963553157,-0.27216257408882893
near_miss_learning|basketball_nba_match,4,0,4,40.0,-12.17624269899295,0.0,-12.17624269899295,-0.3044060674748238
near_miss_learning|geopolitics,3,0,3,30.0,-12.258358000486936,0.0,-12.258358000486936,-0.4086119333495645
basketball_nba_match,4,0,4,40.0,-13.423605389707086,0.0,-13.423605389707086,-0.3355901347426772
exploratory_crypto_updown_live_model|crypto_btc_updown_15m|outcome=up,2,0,2,20.0,-20.0,0.0,-20.0,-1.0
worldcup,10,0,10,100.0,-22.38034605520069,0.0,-22.38034605520069,-0.2238034605520069
macro_rates,3,0,3,30.0,-24.066951566951566,0.0,-24.066951566951566,-0.8022317188983855
near_miss_learning|baseball_mlb_match,4,0,4,40.0,-30.08513782324524,0.0,-30.08513782324524,-0.752128445581131
unknown,8,0,8,80.0,-40.45346990051454,0.0,-40.45346990051454,-0.5056683737564318
