cell_key,rows,actual_win_rate,mean_market_probability,raw_bias,shrunk_bias,market_brier
time_probability|all|1-6h|0.30-0.40,11,0.6363636363636364,0.34818181818181815,0.2881818181818182,0.08805555555555557,0.32101818181818187
time_probability|all|1-6h|0.40-0.50,20,0.8,0.4710000000000001,0.32899999999999996,0.1462222222222222,0.24653249999999996
time_probability|all|1-6h|0.50-0.60,112,0.44642857142857145,0.5051785714285716,-0.058750000000000135,-0.04802919708029208,0.24938080357142853
time_probability|all|1-6h|0.60-0.70,11,0.36363636363636365,0.6518181818181819,-0.2881818181818182,-0.08805555555555557,0.32101818181818187
time_probability|all|3-7d|0.30-0.40,29,0.7241379310344828,0.3631034482758621,0.36103448275862066,0.1938888888888889,0.3369999999999999
time_probability|all|3-7d|0.40-0.50,13,0.46153846153846156,0.4653846153846154,-0.0038461538461538325,-0.001315789473684206,0.26591923076923074
time_probability|all|3-7d|0.50-0.60,36,0.5277777777777778,0.5097222222222223,0.01805555555555549,0.010655737704917994,0.25269305555555555
time_probability|all|3-7d|0.60-0.70,30,0.26666666666666666,0.6356666666666667,-0.36900000000000005,-0.2012727272727273,0.3377666666666666
time_probability|all|6-24h|0.30-0.40,9,0.7777777777777778,0.35944444444444446,0.41833333333333333,0.11073529411764706,0.35972499999999996
time_probability|all|6-24h|0.40-0.50,52,0.75,0.4859615384615384,0.2640384615384616,0.17831168831168837,0.2493663461538461
time_probability|all|6-24h|0.50-0.60,234,0.4444444444444444,0.5030982905982905,-0.058653846153846056,-0.0529922779922779,0.24987638888888902
time_probability|all|6-24h|0.60-0.70,9,0.2222222222222222,0.6405555555555557,-0.41833333333333345,-0.11073529411764708,0.359725
