signal_cohort,shadow_fills,shadow_sell_fills,shadow_open_positions,shadow_total_buy_cost_usdc,shadow_sell_proceeds_usdc,shadow_open_mark_value_usdc,shadow_open_cost_basis_usdc,first_evidence_at_utc,last_evidence_at_utc,shadow_total_pnl_usdc,shadow_roi,evidence_elapsed_hours,shadow_monthly_run_rate_usdc,promotion_readiness,promotion_ready_score,promotion_ready_checks,shadow_promoted,generated_at_utc
exploratory_crypto_updown_live_model|crypto_btc_updown_daily|outcome=down,1,1,0,10.0,12.916666666666668,0.0,0.0,2026-07-02T05:31:42Z,2026-07-02T05:56:03Z,2.916666666666668,0.2916666666666668,1170.4568255905556,1.7941712620962729,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 18.205828737903726, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-19T23:59:06Z
exploratory_crypto_updown_live_model|crypto_btc_updown_daily|outcome=up,2,2,0,20.0,17.315541601255887,0.0,0.0,2026-07-02T11:10:46Z,2026-07-03T00:33:49Z,-2.6844583987441126,-0.13422291993720564,1164.8057144813888,-1.6593411442485855,"{""fills_remaining"": 3, ""monthly_run_rate_remaining_usdc"": 21.659341144248586, ""pnl_remaining_usdc"": 2.6844583987441126, ""roi_remaining"": 0.16422291993720564, ""settled_fills_remaining"": 1, ""tracking_hours_remaining"": 0.0}",1,6,False,2026-08-19T23:59:06Z
exploratory_crypto_updown_live_model|crypto_eth_updown_15m|outcome=down,1,1,0,10.0,24.390243902439025,0.0,0.0,2026-07-01T18:26:32Z,2026-07-01T18:31:13Z,14.390243902439025,1.4390243902439024,1181.5429367058334,8.769021664703821,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 11.230978335296179, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-19T23:59:06Z
exploratory_crypto_updown_live_model|crypto_eth_updown_15m|outcome=up,1,1,0,10.0,55.55555555555556,0.0,0.0,2026-07-01T19:39:58Z,2026-07-01T19:46:13Z,45.55555555555556,4.555555555555555,1180.3190478188887,27.78909656723381,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 0.0, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",4,6,False,2026-08-19T23:59:06Z
exploratory_crypto_updown_live_model|crypto_eth_updown_daily|outcome=up,3,3,0,30.0,38.023219718134975,0.0,0.0,2026-07-01T13:01:02Z,2026-07-11T14:38:00Z,8.023219718134975,0.26744065727116584,1186.96793671,4.866785376752637,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 15.133214623247362, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",4,6,False,2026-08-19T23:59:06Z
exploratory_crypto_updown_live_model|crypto_sol_updown_15m|outcome=up,1,1,0,10.0,19.67895748754814,0.0,0.0,2026-07-03T01:01:03Z,2026-07-03T01:17:03Z,9.67895748754814,0.9678957487548139,1150.9676589341666,6.054774290951562,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 13.945225709048438, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-19T23:59:06Z
exploratory_crypto_updown_live_model|crypto_xrp_updown_daily|outcome=up,1,1,0,10.0,11.363636363636363,0.0,0.0,2026-07-02T11:10:46Z,2026-07-02T16:14:21Z,1.3636363636363633,0.13636363636363633,1164.8057144919444,0.8429029576371789,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 19.15709704236282, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-19T23:59:06Z
exploratory_historical_rule|crypto_sol_updown_event|outcome=up,1,1,0,10.0,0.0,0.0,0.0,2026-07-05T00:38:12Z,2026-07-05T00:38:39Z,-10.0,-1.0,1103.3484922716666,-6.525590101793142,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 26.525590101793142, ""pnl_remaining_usdc"": 10.0, ""roi_remaining"": 1.03, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",1,6,False,2026-08-19T23:59:06Z
geopolitics,4,4,0,40.0,36.94152193757872,0.0,0.0,2026-07-16T02:10:25Z,2026-07-21T00:50:08Z,-3.0584780624212797,-0.076461951560532,837.8115478294445,-2.628400397019688,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 22.62840039701969, ""pnl_remaining_usdc"": 3.0584780624212797, ""roi_remaining"": 0.106461951560532, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-19T23:59:06Z
macro_economy,3,3,0,30.0,28.03656597774245,0.0,0.0,2026-08-02T09:57:51Z,2026-08-08T14:01:38Z,-1.9634340222575517,-0.06544780074191839,422.02099227583335,-3.349768191387974,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 23.349768191387973, ""pnl_remaining_usdc"": 1.9634340222575517, ""roi_remaining"": 0.09544780074191839, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-19T23:59:06Z
